segment,local_ha,acc_ha,successor,cells,components,dist_med_m,dist_p95_m,dist_max_m,climb_mean_m,climb_p50_m,climb_p95_m,climb_max_m,frac_gt_0p1,frac_gt_0p5,frac_gt_1,frac_gt_2,nome_rio,nova_class,obs,st_length_,flag_pixels_gt1,flag_pixels_gt2,flag_max_climb_m,uncertainty_flag
84,0.02,525.9,26456.0,2,1,3.648402374614747,5.932816136561509,6.186639887888927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada/via),Trecho largura acima de 10 metros. Em via pública,17.628256934,0,0,0.0,
392,6.1000000000000005,544.26,,610,1,121.13434643948555,321.2762814379639,367.3419597637768,4.57842765589718e-05,0.0,0.0,0.0279284087009727,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água,Trecho largura acima de 10 metros,128.992645542,0,0,0.0,
1086,3.06,6.49,1188.0,306,1,34.651253242301955,72.38764258006604,96.57159748968542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),,233.625799191,0,0,0.0,
1105,0.32,181.44,23176.0,32,1,114.3288887867794,206.04656078332707,216.8175015130552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,5.7724770845,0,0,0.0,
1134,0.39,66.35000000000001,17932.0,39,1,36.35426303954716,127.68761666168776,146.5108952985705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,44.0146311526,0,0,0.0,
1175,1.72,6.609999999999999,27462.0,172,1,83.75216268084108,151.66942846015866,163.00917097866048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,63.8986577026,0,0,0.0,
1188,0.26,6.75,11415.0,26,1,17.151092849349958,43.679861099574,53.05997190083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,38.9035578118,0,0,0.0,
1237,0.0,2.45,25111.0,0,0,,,,,,,,,,,,,Curso d'Água,,5.95029700285,0,0,0.0,
3420,3.82,298.31,21267.0,382,1,392.2930018331689,708.0523740863385,765.2850109434027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada/via),,13.4858235629,0,0,0.0,
3767,3.54,3.54,17310.0,354,1,90.57966930832984,205.11590578336703,232.9980088935976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,38.3757837288,0,0,0.0,
